id	name
1000	登录
1001	服务器选择
1002	全部
1003	白羊
1004	金牛
1005	双子
1006	巨蟹
1007	狮子
1008	处女
1009	天秤
1010	天蝎
1011	射手
1012	摩羯
1013	水瓶
1014	双鱼
100002	星际学园
100003	名字
100004	暂停
100005	返回
100006	退出
100007	图鉴
100008	活动
100009	任务
100010	好友
100011	角色
100012	开始游戏
100013	开始战斗
100014	挑战等级：<color=#E6C014FF>%s</color>级
100015	消耗体力：<color=#E6C014FF>%s</color>
100016	物品掉落
100017	角色创建
100018	男
100019	女
100020	确定
110001	第一章
110002	第二章
110003	第三章
120001	副本名称
130001	星神录
130002	强化
130003	详细
130004	星卡
130005	数量：
130006	编队
130007	排序
130008	等级
130009	星级
130010	品质
130011	星座
130012	时序
130013	属性
130014	装备
130015	羁绊
130016	传记
130017	等级：
130018	潜力
130021	援助：
130022	生命：
130023	攻击：
130024	防御：
130025	间隔：
130026	射程：
130027	会心：
130028	暴击伤害：
130029	好感
130030	攻击
130031	生命
130032	防御
130033	会心
130034	间隔
130035	射程
130036	全部
130037	其他
130038	阵营
130039	学院派
130040	信仰者
130041	科技派
130042	异能者
130043	SSR
130044	SR
130045	R
130046	N
130047	确定
130048	取消
200001	处女座
200002	火魔
200003	月魔
200004	女主
200005	处女座-改
200006	魔法少女
200007	酒吞
210001	敌人1
210002	敌人2
210003	敌人3
210004	敌人4
220001	白羊
220002	金牛
220003	双子
220004	巨蟹
220005	狮子
220006	处女
220007	天秤
220008	天蝎
220009	射手
220010	摩羯
220011	水瓶
220012	双鱼
300013	道具
300002	道具描述
900001	CV：AAA
