id	world	stage	staUse	needLv	drop	bossId	unit1	unit2	unit3	map	nameId	
1	1	1	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	1	2	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	1	3	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	1	4	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	1	5	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	1	6	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	1	7	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	1	8	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	2	1	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	2	2	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	2	3	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	2	4	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	2	5	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	2	6	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	2	7	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	2	8	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	3	1	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	3	2	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	3	3	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	3	4	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	3	5	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	3	6	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	3	7	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	
1	3	8	5	10	0	1	1000-1-1;1002-1-14	1001-1-1;1002-1-6;1003-1-12	1003-1-4;1002-1-9;1000-1-15;1001-1-14	FightScene_1	120001	

